seller,nome,reviews_rating,reviews_total,old_money,new_money
Por 123 Comprou ,"Notebook Positivo Vision Intel Core i3 8gb RAM 256gb Ssd Tela 15.6"" Full Hd Linux - Preto",4.6,(176),3.212,2.024
Por NegociuN ,"Notebook Vaio Fe15 Amd Ryzen 5 12gb 512gb Ssd, Tela 15,6'' Full Hd Antirreflexo, Windows 11 Home, Cinza Grafite",4.8,(441),3.670,2.984
Por INPOWER ,"Notebook Gamer Acer Nitro V15 - 15.6 144hz Ips, Intel Core I7 13620h (13ª Geração) 4.90ghz, Nvidia Geforce Rtx 3050 6gb Gddr6, 8gb Ram Ddr5, 512gb Ssd Pcie 4.0 Nvme, Áudio Dts, Preto - Anv15-51-7837",5.0,(48),5.899,4.987
Por Asus ,"Notebook ASUS VivoBook Go 15 AMD Ryzen 5 7520U 8GB 512GB SSD KeepOS Tela 15,6"" FHD Mixed Black - E1504FA-NJ732",4.8,(1111),2.899,2.464
Por Asus ,Notebook Asus Vivobook 16 X1605va Intel Core I7 1355u 8gb Ram 512gb Ssd Linux Keepos Tela 16 Ips Fhd Silver - Mb742,4.9,(75),4.199,3.288
,Notebook Dell Latitude 3410 Core I5 10ger 8gb 240ssd Win 11 Cor Cinza - Excelente (Recondicionado),,,2.035,96
,Notebook 2am Gaming Core I5 8400 16gb Ddr4 Ssd 240gb Gamer,,,1.990,94
,"Notebook Hp Intel Core I5-1035g1, 16gb, 240gb Ssd, Win 11 Cinza/chumbo (Recondicionado)",,,2.395,1.796
,"Notebook Positivo Q4128c Atom 4gb 128gb Ssd 14,1'' W10 Cor Vermelho",4.1,(2658),1.399,77
Por 123 Comprou ,Notebook Multi Ultra Celeron N4020c 4gb 128gb W11 14'' Cinza,4.6,(606),2.064,1.277
Por Positivo ,"Notebook Positivo Vision C15 Lumina Bar Celeron, 8GB 128GB eMMC, Tela 15.6"" HD Antirreflexo, Windows 11, Tecla Link, Cinza",4.6,(1184),2.641,1.756
Por 123 Comprou ,Notebook Positivo Vision C15 Lumina Bar Celeron 8gb 128gb Emmc 15 Hd Linux - Cinza,3.7,(3),2.427,1.529
,Notebook Dell Latitude 5410 I5 10th 16gb Ddr4 Ssd 256gb Nvme Cinza (Recondicionado),,,1.949,92
,Notebook Dell Core I5 11°ger 32gb Ssd 512gb Nvme Semi-novo Prateado (Recondicionado),4.6,(7),2.898,138
Por Vaio ,"Notebook Vaio Fe16 Amd Ryzen 7-5825u Windows 11 Home 32gb RAM 512gb Ssd Wi-Fi 6 Tela 16"" Ips Wuxga Antirreflexo - Cinza Grafite - Vjfe69f11x-b0211h - Permite upgrade de memória RAM e SSD",4.6,(9),5.999,5.199
Por Asus ,"Notebook Asus Vivobook Go 15 E510ka Intel Celeron Dual Core N4500 4gb Ram 128gb Emmc Windows 11 Home 15,60 Hd Rosa - Br833ws",4.7,(649),2.099,1.681
,Netbook 2 Em 1 Tablet Intel Atom Memoria 2gb Windows Branco MG0029 MGB,,,699,38
Por Asus ,"Notebook ASUS Vivobook Go 15 E1504FA AMD Ryzen 3 7320U 4Gb Ram 128Gb SSD Windows 11 Home Tela 15,6 FHD Mixed Black - NJ1364W",4.8,(112),2.399,2.081
Por Vikings ,Notebook Acer Aspire 5 A515-45-r0xr Ryzen7 8gb 256gb Ssd 15.6 Full Hd Linux Gutta - Excelente (Recondicionado),,,2.499,119
Por Asus ,Notebook Asus Vivobook 16 X1607qa Snapdragon X1 26 100 16gb Ram 1tb Ssd Windows 11 Home Tela 16 Fhd Silver - Mb092w,,,5.799,4.698
, Rhodia QUADRICULADO A5 Capa Laranja 80 folhas  quadriculadas unidade x 1,5.0,(1),51,
,Notebook Lenovo Thinkpad T14 Gen 1 Core I7 16gb Ram 256 Ssd Preto (Recondicionado),,,2.390,113
,"Notebook Latitude 3420 14"" preto 8GB de Ram - 256GB SSD - Intel Core i5 - Excelente (Recondicionado)",,,2.292,109
,Notebook Dell Latitude 5420 Core I7 11th 32gb Ram 1tb Ssd Cor Cinza - Excelente (Recondicionado),,,4.500,3.825
Por CELL TRONICS ,"Notebook Asus Vivobook Go 15 E1504ga Intel Core I3 N305 4gb Ram 128gb Ssd Windows 11 Tela 15,6 Fhd Silver - Nj440w",4.7,(344),2.399,2.255
,"Notebook Gamer ASUS TUF Gaming F15 FX507VU RTX4050 Core i7 13620H 8Gb Ram 512Gb SSD Linux 15,6"" FHD 144Hz Gray LP151",4.9,(84),10.900,519
,Notebook Positivo Master N190i Core I3 3th 4gb Ram Ssd 120gb,4.3,(3),699,38
Por Vaio ,"Notebook Vaio F14 13ª Gen Intel Core I5 16gb 512gb Ssd 14 Full Hd Antirreflexo Windows 11 Home Plus, Warm White, Desbloqueio Facial E Por Digital, Teclado Retroiluminado Pc8970c11x-b0611w",,,6.049,4.899
Por Asus ,"Notebook ASUS Vivobook Go 15 E510KA Intel Celeron Dual Core N4500 4GB Ram 128GB EMMC Windows 11 Home 15,60"" HD Black - BR808WS",4.4,(118),1.647,1.548
,"Apple Macbook Air (13 polegadas, 2020, Chip M1, 256 GB de SSD) - Cinza-espacial",4.9,(1056),5.239,249
,Notebook Dell Latitude 5490 Core I5 8ªg 8gb Ssd 256gb 14 - Excelente (Recondicionado),,,1.699,80
,Notebook Dell Latitude 5490 Core I5 8th 8gb Ram 256gb Ssd Cor Preto - Excelente (Recondicionado),,,1.699,80
Por 2Eletro ,"Notebook Lenovo Ideapad 1i Intel I5-1235u 8gb 512gb 15,6 W11 Cinza",4.9,(56),3.999,3.199
Por Mercado Vendeu ,Notebook Dell Latitude 5450 Ultra 5 125u 16gb 512gb Ssd Cor Cinza,,,6.392,304
,Notebook Asus Zenbook 14 Intel Core Ultra7 16gb 1tb Ssd W11,4.7,(14),9.299,7.253
,Notebook Lenovo Thinkpad T14 I5 10°th - Tela Touch Full Hd Preto (Recondicionado),,,2.308,109
,Notebook Lenovo T490 Core I5 8365u 1.6ghz Ssd 256gb 16gb 8ª Cor Preto - Bom (Recondicionado),,,2.298,1.827
,Notebook Acer Travelmate Intel® Core I71355u De 13a Geração Cinza/aço,,,4.249,202
Por Positivo ,"Notebook Positivo Vision R15 Lumina Bar, Amd Ryzen 7 8gb 512gb, Tela 15 Polegadas Full Hd Antirreflexo, Linux - Preto",4.8,(10),3.599,2.699
,Macbook Air de 13 polegadas chip SSD M4 de 256 GB cor prata,4.8,(9),8.420,400
Por Positivo ,Notebook 2 Em 1 Positivo Duo C4128a Intel® Celeron® Dual Core Linux - Cinza,5.0,(3),1.999,1.199
,Notebook Dell Latitude 5420 I7 16gb Ssd 256gb Windows 11 Pro Prateado (Recondicionado),,,2.999,142
,"Notebook Asus Vivobook 15 X1504za Intel Core I5 1235u 16gb Ram 512gb Ssd Linux Keepos Tela 15,60 Fhd Quiet Blue - Nj931",4.8,(254),3.359,322
,Notebook Hp 840 G3 Fino I7 6 Geração 8gb 256gb Ssd + Brinde Prateado (Recondicionado),,,1.998,1.499
,Chromebook Acer Co731c6nn Intel Celeron 4gb Emmc32gb Chros,4.8,(20),1.426,79
,"Notebook Inspiron 5440 14"" prateado 16GB de Ram - Intel Intel Core 5",5.0,(2),5.331,253
,"Notebook Lenovo Ideapad 1 Intel Core i3 1215U 4gb Ram 128gb Ssd Linux Tela 15,6"" Intel Uhd Graphics 82VYS01100",4.8,(664),2.699,2.510
Por zShops ,Chromebook Lenovo 100e Intel Celeron N4500 4gb 32gb,4.9,(11),1.799,172
,Livro De Registro De Receitas E Despesas A4 Accounting Ledge,,,1.971,93
Por Micro Livre ,Notebook Lenovo Thinkpad T495 Ryzen 5 Pro Ram 16gb Ssd 256gb Preto (Recondicionado),,,2.699,1.943
,"Notebook Asus Celeron Dual Core 4gb Ram 128gb Ssd W11 15,6'' Cor Prata",4.0,(4),2.700,1.782
,Notebook Probook Hp 440 G3 Core I5 16gb Ram 240gb Ssd C/nf Cinza (Recondicionado),,,1.899,1.633
,Notebook Lenovo Ideapad 1 Ryzen 5 7520U 8gb 512gb W11 15.6 HD 82x5000gbr,4.8,(1148),3.199,152
Por NegociuN ,"Notebook Lenovo IdeaPad Slim 3 15IRH10 Intel Core i5-13420H 8GB 512GB SSD Windows 11 15.3"" - 83NS0002BR Luna Grey",5.0,(2),4.089,3.599
Por 123 Comprou ,"Notebook Positivo Vision Intel Core i3 8gb RAM 256gb Ssd Tela 15.6"" Full Hd Linux - Preto",4.6,(176),3.212,2.024
Por NegociuN ,"Notebook Vaio Fe15 Amd Ryzen 5 12gb 512gb Ssd, Tela 15,6'' Full Hd Antirreflexo, Windows 11 Home, Cinza Grafite",4.8,(441),3.670,2.984
Por INPOWER ,"Notebook Gamer Acer Nitro V15 - 15.6 144hz Ips, Intel Core I7 13620h (13ª Geração) 4.90ghz, Nvidia Geforce Rtx 3050 6gb Gddr6, 8gb Ram Ddr5, 512gb Ssd Pcie 4.0 Nvme, Áudio Dts, Preto - Anv15-51-7837",5.0,(48),5.899,4.987
,"Notebook ASUS Vivobook Go 15 E1504GA Intel Core i3 N305 8GB Ram 256GB SSD Windows 11 Home Tela 15,6"" FHD Silver - NJ434W",4.8,(59),2.999,142
Por Mercado Vendeu ,Notebook Dell Inspiron 3520 Core I7 12* 8gb 512gb Ssd Cor Preto,4.4,(29),4.896,233
Por Fast Shop ,Notebook Asus Zenbook S14 Core Ultra7 258v 32gb 1tb Ssd W11,5.0,(2),10.199,980
,Notebook Positivo Duo 11.6  4gb De Ram 128gb Ssd - C4128bp,,,1.549,148
,"Notebook EliteBook 840 G3 14"" prata 256GB SSD - Intel Core i5 - Excelente (Recondicionado)",,,2.000,1.680
Por Miranda ,Notebook Lenovo Ideapad 1 R3-7320U 4GB de RAM 256GB SSD W11 Home 15.6 82x5000ebr,4.8,(1148),2.606,2.241
Por 123 Comprou ,Notebook Multi Ultra Celeron N4020c 4gb 128gb W11 14'' Cinza,4.6,(606),2.064,1.277
Por Positivo ,"Notebook Positivo Vision C15 Lumina Bar Celeron, 8GB 128GB eMMC, Tela 15.6"" HD Antirreflexo, Windows 11, Tecla Link, Cinza",4.6,(1184),2.641,1.756
Por 123 Comprou ,Notebook Positivo Vision C15 Lumina Bar Celeron 8gb 128gb Emmc 15 Hd Linux - Cinza,3.7,(3),2.427,1.529
Por Mobcom ,Notebook Acer Aspire 3 A315-510P-35D2 Intel Core i3 N305 ‎Intel UHD Graphics 8GB RAM 512GB SSD 15.6” LED FULL HD Windows 11,3.8,(4),3.999,2.899
Por Asus ,"Notebook ASUS TUF Gaming A15 FA506NFR RTX 2050 AMD Ryzen 7 7435HS 16Gb Ram 512Gb SSD Windows 11 Home Tela 144Hz nivel IPS 15,6"" FHD Graphite Black - HN060W",4.7,(22),6.199,5.125
,Macbook Pro A2251 2020 13  16gb Ram 512gb Ssd Space Gray (Recondicionado),4.8,(6),3.399,3.229
,Notebook Dell 5400 Carbon Core I5 8ger 8gb 240ssd Windows 11,,,2.699,2.429
,"Notebook EliteBook x360 C1030 14"" aluminum 128GB SSD - Intel Core i7 - Excelente (Recondicionado)",,,2.999,1.979
,Notebook Lenovo V15 G4 Iru Intel Core I5 8gb 256gb W11 15.6,4.5,(2),4.148,197
,Notebook Hp Elitebook X360 I5 7a -16gb Ram Nvme 256gb Touch Prateado (Recondicionado),,,3.249,2.437
,Notebook Dell Vostro 3401 Core I5 8gb Ram 256gb Ssd Cor Preto - Excelente (Recondicionado),,,2.649,1.986
,Notebook Dell Latitude 5310 Core I5 10ª Ger 16gb Ssd 256gb - Excelente (Recondicionado),,,2.589,123
,Notebook Dell Latitude 5420 I7-1185g7 16gb 256gb 14hd W10pro - Excelente (Recondicionado),,,2.790,132
Por NegociuN ,"Notebook Vaio Fe15 Amd Ryzen 5 12gb 512gb Ssd, Tela 15,6'' Full Hd Antirreflexo, Windows 11 Home, Cinza Grafite",4.8,(441),3.670,2.984
,Laptop Dell Inspiron i15-i1300-M50P 15.6 Full HD de 13ª geração RAM 16 GB Core i5 Cor Preto,4.8,(84),5.200,4.784
,Apple Macbook air 13 M4 16gb Ram 256gb Ssd Prateado,5.0,(2),8.190,390
Por Vikings ,"Notebook Lenovo Ideapad 1 Intel Core i3 1215U 8GB RAM 256GB SSD Windows 11 Home Tela 15,6"" 82VY000SBR - Excelente (Recondicionado)",,,2.299,109
,Notebook Vaio F14 PC8970C11X -B0911W Core I7 1255U Windows 11 16gb 512gb Ssd Cor Branco,5.0,(4),7.999,380
,"Notebook Asus Vivobook 15 X1504za Intel Core I5 1235u 8gb Ram 512gb Ssd Windows 11 Tela 15,6 Fhd Silver - Nj986w",4.9,(365),3.299,157
Por Eshop ,"Notebook Gamer ASUS TUF Gaming A15 AMD Ryzen 7 7435HS 3,1 GHz RTX3050 16GB RAM 512GB SSD Windows 11 Home Tela 15,6 144Hz IPS FHD Graphite Black - FA506NCR-HN088W",4.9,(72),8.149,5.990
Por HP ,Notebook Hp 256r G9 Ci3 15.6  Uhd Graphics 256gb Ssd 8gb W11 Cinza-escuro,4.8,(17),3.232,2.519
Por Asus ,Notebook Asus Vivobook 15 M1502ya Amd Ryzen 7 5825u 16gb Ram 512gb Ssd Windows 11 Home Tela 15.6 Led Fhd Silver - Nj655w,4.8,(26),4.499,3.906
,Notebook Lenovo Thinkpad T480 Intel Core I5 8ag 8gb Ssd128gb Preto (Recondicionado),4.8,(26),1.299,72
Por Login ,Notebook Dell Inspiron 15 Intel I7 1255u 8gb 512gb Ssd Preto,,,4.999,4.299
,Notebook Dell Latitude 3420 Intel Core I5 11ger Memória Ram 16gb Armazenamento Ssd 256gb Windows 11 Tela 14,4.2,(5),3.299,157
,Notebook Dell I5 10ger 16gb 240ssd Win11 Detalhe Na Tela,,,2.699,128
,"MacBook Air M1 2020 13"" cinza-espacial 8GB de Ram - 256GB SSD - Apple Chip",4.9,(251),5.088,489
,"Notebook Dell Latitude 3490 Tela Hd 14'' I5-8250u 256gb, 8g - Excelente (Recondicionado)",,,1.550,1.472
Por Samsung ,"Notebook Samsung Galaxy Book4 Intel® Core™ i5-1335U (1.3 Ghz, até 4.6GHz, 12 MB L3 Cache), Windows 11 Home, 8GB, 512GB SSD, Iris Xe, 15.6'' Full HD LED, 1.55kg",4.8,(2176),4.099,3.681
,Notebook Dell Latitude 7310 Core I5 16gb Ram 256gb Ssd + Cor Prateado - Excelente (Recondicionado),,,2.299,2.092
,Notebook Lenovo Thinkpad T14 Intel Core I5 10ager 16gb 256gb Preto (Recondicionado),5.0,(8),1.969,93
,Notebook Positivo Motion Plus Q464b Tela 14 4gb Ram 64gb Hd Cor CINZA AZULADO,3.7,(77),1.159,64
,Notebook Hp Core I5 8°ger. 16gb Ssd 512 Windows 11 Original,5.0,(3),3.090,147
,Notebook Dell Latitude 5420 Core I7 11th Ram 16gb Ssd 256gb Cinza,,,2.790,132
,"Notebook Latitude 3400-5400-5490 14"" cinza 16GB de Ram 512GB SSD Intel Core i5",4.1,(103),3.299,157
Por SLA Informatica ,Notebook Lenovo Thinkpad T14 I5 10ger 16gb 256gb Ssd 01,,,2.799,133
,Notebook Lenovo Thinkpad L13 Core I5-10310u 16gb Ssd 256gb (Recondicionado),5.0,(1),1.783,84
,Notebook Apple Macbook Pro A1398 Intel Core I7 256gb 16gb Cinza (Recondicionado),,,2.789,132
,Notebook Hp Elitebook - Core I7 + 16 Gb Ddr4 + Ssd Prateado 256 Gb Ssd M2 (Recondicionado),5.0,(1),2.199,1.715
,Notebook Lenovo X250 Core I5 5ª Geração 8gb Ssd 120gb Wifi (Recondicionado),,,1.299,72
Por Fast Shop ,Notebook Asus Tuf Gaming Rtx3050 Core I5 16gb 512ssd W11,4.9,(224),6.040,287
,Notebook Vaio Vjf155f11x 1tb 4gb Intel I3-7100u Mostruário,5.0,(1),1.699,80
Por Asus ,"Notebook Asus X515ka Intel Celeron Dual Core N4500 4gb Ram 128gb Ssd Windows 11 Home Tela 15,6 Led Cinza - Br329ws",4.5,(2),1.999,1.690
,Notebook Lenovo Loq 15irx9 Intel Core i7-13650hx 16gb 512gb Ssd Rtx 4050 Windows 11 15.6 - 83kh0003br Luna Grey,4.9,(17),7.799,371
,Notebook Hp Probook 640 G8 Core I5-1145g7 16gb Ssd 512gb (Recondicionado),,,2.327,110
Por 123 Comprou ,"Notebook Positivo Vision Intel Core i3 8gb RAM 256gb Ssd Tela 15.6"" Full Hd Linux - Preto",4.6,(176),3.212,2.024
Por NegociuN ,"Notebook Vaio Fe15 Amd Ryzen 5 12gb 512gb Ssd, Tela 15,6'' Full Hd Antirreflexo, Windows 11 Home, Cinza Grafite",4.8,(441),3.670,2.984
Por INPOWER ,"Notebook Gamer Acer Nitro V15 - 15.6 144hz Ips, Intel Core I7 13620h (13ª Geração) 4.90ghz, Nvidia Geforce Rtx 3050 6gb Gddr6, 8gb Ram Ddr5, 512gb Ssd Pcie 4.0 Nvme, Áudio Dts, Preto - Anv15-51-7837",5.0,(48),5.899,4.987
,Notebook Lenovo Thinkpad T480 I5-8º 8gb 240gb Ssd Vitrine Cor Black - Bom (Recondicionado),,,2.499,1.649
,Notebook Dell Latitude Core I7 8ª Ger Ssd 480gb Ram 16gb,,,3.139,149
,Rhodia Katakana 162100K 80 folhas quadriculadas 1 assuntos unidade x 1 14.8cm x 21cm cor laranja,,,55,
,"Notebook Inspiron 3501 15.55"" preto 4GB de Ram - 128GB SSD - Intel Core i3",4.8,(119),3.540,168
,"Laptop De 15,6 Polegadas Tela Ips De 15,6 Polegadas 16g Ram ",,,2.856,1.714
,Notebook Lenovo Thinkpad L13 Core I5-10310u 16gb Ssd 256gb (Recondicionado),,,1.799,85
Por 123 Comprou ,Notebook Multi Ultra Celeron N4020c 4gb 128gb W11 14'' Cinza,4.6,(606),2.064,1.277
Por Positivo ,"Notebook Positivo Vision C15 Lumina Bar Celeron, 8GB 128GB eMMC, Tela 15.6"" HD Antirreflexo, Windows 11, Tecla Link, Cinza",4.6,(1182),2.641,1.756
Por 123 Comprou ,Notebook Positivo Vision C15 Lumina Bar Celeron 8gb 128gb Emmc 15 Hd Linux - Cinza,3.7,(3),2.427,1.529
,Notebook Dell 8265u Core I5 8g 16gb 256ssd Win11,,,2.699,128
Por Mobi Phone ,"MacBook Pro MacBook Pro 14"" M3 Pro 14"" space black 18GB de Ram - 1TB SSD - Apple M3",4.9,(53),20.575,979
,MacBook Air M2 2022 midnight 16GB de Ram - 256GB SSD - Apple M,5.0,(70),7.289,6.268
Por Asus ,Notebook Gamer Rog Strix G16 G614fr Nvidia Rtx 5070 Amd Ryzen 9 9955hx3d 32gb Ram 1tb Ssd Windows 11 Tela 16 240hz Led Gray - S5172w,5.0,(1),24.999,22.379
,"Notebook Dell Latitude E5470 I5, 6ª geração, 2,3 GHz, 8 GB, 256 ssd, 14, preto - Excelente (Recondicionado)",,,2.005,95
,Notebook Dell Latitude 3480 I7 7500 8gb 240gb - Excelente (Recondicionado),,,1.699,1.614
,Notebook Hp 840 G7 I5 10a Geração - 8gb Ram - Ssd 240gb W11 Prateado (Recondicionado),5.0,(1),2.999,1.949
Por Asus ,"Notebook ASUS TUF Gaming A15 FA506NCR NVIDIA RTX 3050 AMD Ryzen 7 7435HS 8Gb Ram 512Gb SSD Linux KeepOS Tela 15,6"" FHD Nível IPS 144Hz Black - HN089",4.9,(18),5.899,5.125
,"Notebook Latitude 5400 14"" preto 16GB de Ram - 512GB SSD - Intel Core i5",4.2,(69),3.199,152
,Notebook Lenovo Thinkpad L440 Core I5 4300m 4gb 500gb - Excelente (Recondicionado),,,1.200,66
Por MEGAJU COMERCIAL ,"Notebook 15,6'' Fhd Ips Intel N95 8gb Ddr4 Ssd 256gb Hdmi",,,3.999,2.839
,Notebook Dell Latitude 5420 Core I7 11th Ram 16gb Ssd 256gb Cinza,,,3.100,2.790
Por Mobcom ,Notebook Acer Aspire 5 Amd Ryzen 7 15.6 Amd Radeon 512gb 8gb,4.8,(13),3.605,3.199
Por Positivo ,Positivo Notebook 2 Em 1 Positivo Duo C4128b-3 Intel Celeron,4.7,(92),1.799,1.547
Por SLA Informatica ,Notebook Lenovo Thinkpad T14 I5 10ger 16gb 256gb Ssd,5.0,(1),2.799,133
,"Apple Macbook Air (13 polegadas, 2020, Chip M1, 256 GB de SSD) - Prata",4.9,(1056),5.599,266
Por Asus ,Notebook Asus Vivobook 16 X1607qa Qualcomm Snapdragon X1 26 100 16gb Ram 512gb Ssd Windows 11 Home Tela 16 Fhd Silver - Mb062w,5.0,(3),5.299,4.191
,Notebook Dell Latitude 3420 I7 11a Ge 32gb Ram 256gb Nvme Preto (Recondicionado),,,2.900,2.581
,Notebook Lenovo T480 Core I5-8350u 16gb Ssd 512gb Hdmi,4.5,(4),2.999,142
,Notebook Dell Vostro 5402 Core I7-1165g7 32gb 512ssd Nvidia Preto (Recondicionado),,,3.389,2.914
,Notebook Hp 240 G4 Core I5 6a Geração 8gb Ssd 240gb Hdmi,5.0,(2),1.600,1.040
,Laptop Dell Vostro 3401 Core I5 ​​​​de 10ª geração 8 GB 256 GB SSD de 14 polegadas - Excelente (Recondicionado),,,2.999,1.979
,Notebook Vaio Pro Px Intel Core I5-1235u 8gb Ssd 256gb 14  (Recondicionado),,,1.574,74
,Notebook Dell Latitude 5400 I5 8365u 8gb 256ssd - Seminovo,,,1.775,84
,Acer Spin 2 Em 1 Amd A4 4gb Ram 32gb Ssd Chromebook 11.6 - Excelente (Recondicionado),,,1.095,897
Por Positivo ,"Notebook Positivo Vision R15 Lumina Bar Amd Ryzen 5 16gb 512gb, Tela 15 Full Hd Antirreflexo, Linux - Preto",4.3,(40),3.899,2.899
Por Vaio ,"Notebook Vaio F14, 13ª Gen Intel Core I7, 16gb 512gb Ssd, 14 Full Hd Antirreflexo, Windows 11 Home, Warm White, Desbloqueio Facial E Por Digital, Teclado Retroiluminado B1011w",5.0,(5),7.999,6.399
Por Samsung ,"Notebook Samsung Galaxy Book4, Windows 11 Home, Intel® Core I7, 16gb, 512gb Ssd, 15.6'' Full Hd Led, 1.55 Kg - Grafite",4.9,(431),5.699,5.117
,Notebook Lenovo V14 Amd R5 7520u 8gb 256gb Ssd W11 Pro Preto,4.3,(7),4.775,459
Por Gigantec ,Notebook Positivo Master N2240 Core I3 1115g4 8gb Ddr4 Linux Cor Preto,4.7,(3),1.993,191
,"Notebook Asus Vivobook Go 15 E1504fa Amd Ryzen 5 7520u 8gb Ram 1tb Ssd Linux Keepos Tela 15,6 Fhd Black - Nj1289",4.8,(132),2.890,277
Por TNT Info ,"Samsung Galaxy Chromebook Go Intel Celeron N4500, 4gb, 32gb Cor Cinza - Excelente (Recondicionado)",,,1.195,115
,Macbook Air M4/ 16gb/ 256gb Ssd 2025,4.8,(16),8.379,399
,Notebook Hp Elitebook 845 G8 Ryzen 3 Pro 5450u 4.0ghz Win11 Prateado (Recondicionado),,,4.990,237
Por Samsung ,"Notebook Samsung Galaxy Book Go, Windows 11 Home, Snapdragon® 7c, 4gb, 128gb Ufs, 14'' Full Hd Led, 1.38kg Com Copilot Integrado",4.9,(54),2.149,2.029
,"Chip M3 Apple Macbook Air MC8j4ll/A 13,6 256 GB/16 GB de RAM - Starlight",5.0,(5),7.890,375
,Notebook Asus Zenbook 14 Oled Ux3405ma Intel Core Ultra 9 185h Ai 32gb Ram 1tb Ssd Windows 11 Home Tela 14 Blue - Pp809w,4.3,(12),8.758,417
,Notebook Hp 840 G8 I5 11° Geração 16gb Ddr4 Ssd 512gb Nvme Prateado,,,2.999,142
,"Notebook Latitude 5490 14"" preto 8GB de Ram - 256GB SSD - Intel Core i5",4.2,(88),2.999,142
Por HP ,Notebook Hp 256r G9 Ci3 Uhd Graphics 256gb 8gb + Mochila Hp,5.0,(2),4.754,2.754
Por Asus ,"Notebook Asus Vivobook Go E1504GA Intel Core I3 N305 4Gb Ram 256Gb Ssd Linux Keepos Tela 15,6 Fhd Silver - Nj447",4.7,(568),2.399,2.055
,Notebook Lenovo LOQ-e 15iax9e Intel Core i7-12650HX 16gb 512gb SSD RTX 4050 Windows 11 15.6 - 83me0002br Luna Grey,4.8,(9),6.399,304
Por 123 Comprou ,"Notebook Positivo Vision Intel Core i3 8gb RAM 256gb Ssd Tela 15.6"" Full Hd Linux - Preto",4.6,(176),3.212,2.024
Por NegociuN ,"Notebook Vaio Fe15 Amd Ryzen 5 12gb 512gb Ssd, Tela 15,6'' Full Hd Antirreflexo, Windows 11 Home, Cinza Grafite",4.8,(441),3.670,2.984
Por INPOWER ,"Notebook Gamer Acer Nitro V15 - 15.6 144hz Ips, Intel Core I7 13620h (13ª Geração) 4.90ghz, Nvidia Geforce Rtx 3050 6gb Gddr6, 8gb Ram Ddr5, 512gb Ssd Pcie 4.0 Nvme, Áudio Dts, Preto - Anv15-51-7837",5.0,(48),5.899,4.987
Por Samsung ,"Notebook Samsung Galaxy Book4 Intel® Core™ i5-1335U (1.3 Ghz, até 4.6GHz, 12 MB L3 Cache), Windows 11 Home, 16GB, 512GB SSD, Iris Xe, 15.6'' Full HD LED, 1.55kg",4.9,(2040),4.499,4.037
,Notebook Dell Latitude 5400 I5 8a Ger 16gb M2 256gb Cor Preto - Bom (Recondicionado),,,2.499,1.799
,Notebook Hp 14 Stream 8gb Ram Intel C/nf Branco (Recondicionado),,,1.199,115
Por Samsung ,"Notebook Samsung Galaxy Book4 360, 16gb, Intel Core I7, 1tb Ssd, Windows 11 Home, 15.6'' Full Hd Amoled, Np750qgk-kg1br",4.7,(184),8.999,428
,Placa Filha Compatível Com Dell Inspiron 3510 3511 3515,5.0,(2),109,10
,Microsoft Surface 4 13.5 Touchscreen I5,,,9.590,921
Por 123 Comprou ,Notebook Multi Ultra Celeron N4020c 4gb 128gb W11 14'' Cinza,4.6,(606),2.064,1.277
Por Positivo ,"Notebook Positivo Vision C15 Lumina Bar Celeron, 8GB 128GB eMMC, Tela 15.6"" HD Antirreflexo, Windows 11, Tecla Link, Cinza",4.6,(1184),2.641,1.756
Por 123 Comprou ,Notebook Positivo Vision C15 Lumina Bar Celeron 8gb 128gb Emmc 15 Hd Linux - Cinza,3.7,(3),2.427,1.529
,Notebook 14 Pentium Quad Win10 Original Ssd120gb 4gb Vitrine,5.0,(1),1.229,118
,Notebook Lenovo Thinkpad T480 I5-8º 8gb 240gb Ssd Vitrine Cor Black - Excelente (Recondicionado),,,1.749,168
Por OTH Produtos ,"Macbook Pro 2020, 13.3'', Core I5, 16gb, Ssd-512gb C/detalhe Cinza Espacial (Recondicionado)",,,2.840,273
Por Gigantec ,Notebook Lenovo Lenovo V14 Amd Ryzen 5 8gb 256gb W11,5.0,(2),3.241,311
,Notebook Dell Latitude 5400 I5 8a Ger 16gb M2 256gb Cor Preto - Excelente (Recondicionado),,,2.499,1.899
Por Mercado Livre ,Notebook Positivo Vision C14 Lumina Bar Intel 4gb 128gb 14'' Cinza,4.8,(48),1.799,1.399
Por Samsung ,"Notebook Samsung Galaxy Book4 Pro, Windows 11 Home, Intel® Core™ Ultra 5 125H, 16GB, 512GB SSD, 14'' Full HD AMOLED, Touchscreen, 1.23 kg",4.8,(68),6.999,6.284
,"Notebook V-Series V15 15.6"" black 8GB de Ram - 1TB HDD - Intel Core i5 - Excelente (Recondicionado)",,,3.599,171
Por Samsung ,"Notebook Samsung Galaxy Book4 Ultra Intel® Core™ Ultra 9 185H , Windows 11 Home, 32GB, 1TB SSD, 16'' WQXGA+ AMOLED 2x, antirreflexo, touchscreen, 1.86 kg",4.6,(59),13.999,13.299
,Notebook Lenovo Thinkpad E14 Intel Core I5 10ª 16gb Ram 256gb Ssd M2 Windows 11 Pro - Bom (Recondicionado),,,2.067,98
,"Apple Macbook Air (13 polegadas, 2020, Chip M1, 256 GB de SSD) - Ouro",4.9,(1056),5.599,266
